Lastname,Firstname,Authorname,JoinedAsBuilder,Affiliation,ORCID
Doel,Peter,P.~Doel,True,"Department of Physics \& Astronomy, University College London, Gower Street, London, WC1E 6BT, UK",
Edelstein,Jerry,J.~Edelstein,True,"Space Sciences Laboratory, University of California, Berkeley, 7 Gauss Way, Berkeley, CA  94720, USA",
Edelstein,Jerry,J.~Edelstein,True,"University of California, Berkeley, 110 Sproul Hall \#5800 Berkeley, CA 94720, USA",
Eftekharzadeh,Sarah,S.~Eftekharzadeh,True,"Universities Space Research Association, NASA Ames Research Centre",
Eisenstein,Daniel,D.~J.~Eisenstein,True,"Center for Astrophysics $|$ Harvard \& Smithsonian, 60 Garden Street, Cambridge, MA 02138, USA",
Elliott,Ann,A.~Elliott,True,"Department of Physics, The Ohio State University, 191 West Woodruff Avenue, Columbus, OH 43210, USA",0000-0001-6537-6453
Elliott,Ann,A.~Elliott,True,"The Ohio State University, Columbus, 43210 OH, USA",0000-0001-6537-6453
Fagrelius,Parker,P.~Fagrelius,True,"NSF's NOIRLab, 950 N. Cherry Ave., Tucson, AZ 85719, USA",
Fanning,Kevin,K.~Fanning,True,"Kavli Institute for Particle Astrophysics and Cosmology, Stanford University, Menlo Park, CA 94305, USA",0000-0003-2371-3356
Fanning,Kevin,K.~Fanning,True,"SLAC National Accelerator Laboratory, Menlo Park, CA 94305, USA",0000-0003-2371-3356
Ferraro,Simone,S.~Ferraro,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0003-4992-7854
Ferraro,Simone,S.~Ferraro,True,"University of California, Berkeley, 110 Sproul Hall \#5800 Berkeley, CA 94720, USA",0000-0003-4992-7854
Ferrer Ereza,Julia ,J.~Ereza,False,"Instituto de Astrof\'{i}sica de Andaluc\'{i}a (CSIC), Glorieta de la Astronom\'{i}a, s/n, E-18008 Granada, Spain",0000-0002-0194-4017
Findlay,Nathan,N.~Findlay,False,"Institute of Cosmology and Gravitation, University of Portsmouth, Dennis Sciama Building, Portsmouth, PO1 3FX, UK",
Font-Ribera,Andreu,A.~Font-Ribera,True,"Institut de F\'{i}sica d’Altes Energies (IFAE), The Barcelona Institute of Science and Technology, Campus UAB, 08193 Bellaterra Barcelona, Spain",0000-0002-3033-7312
Forero Sánchez,Daniel Felipe,D.~Forero-Sánchez,False,"Ecole Polytechnique F\'{e}d\'{e}rale de Lausanne, CH-1015 Lausanne, Switzerland",0000-0001-5957-332X
Forero-Romero,Jaime E.,J.~E.~Forero-Romero,True,"Departamento de F\'isica, Universidad de los Andes, Cra. 1 No. 18A-10, Edificio Ip, CP 111711, Bogot\'a, Colombia",0000-0002-2890-3725
Forero-Romero,Jaime E.,J.~E.~Forero-Romero,True,"Observatorio Astron\'omico, Universidad de los Andes, Cra. 1 No. 18A-10, Edificio H, CP 111711 Bogot\'a, Colombia",0000-0002-2890-3725
Frenk,Carlos,C.~S.~Frenk,False,"Institute for Computational Cosmology, Department of Physics, Durham University, South Road, Durham DH1 3LE, UK",0000-0002-2338-716X
Garcia-Quintero,Cristhian,C.~Garcia-Quintero,False,"Department of Physics, The University of Texas at Dallas, Richardson, TX 75080, USA",0000-0003-1481-4294
Gaztañaga,Enrique,E.~Gaztañaga,True,"Institut d'Estudis Espacials de Catalunya (IEEC), 08034 Barcelona, Spain",
Gaztañaga,Enrique,E.~Gaztañaga,True,"Institute of Cosmology and Gravitation, University of Portsmouth, Dennis Sciama Building, Portsmouth, PO1 3FX, UK",
Gaztañaga,Enrique,E.~Gaztañaga,True,"Institute of Space Sciences, ICE-CSIC, Campus UAB, Carrer de Can Magrans s/n, 08913 Bellaterra, Barcelona, Spain",
Gil-Marín,Héctor,H.~Gil-Mar\'in,False,"Instituto de C\`{\i}encias del Cosmoc, (ICCUB) Universidad de Barcelona (IEEC-UB), Mart\'{\i} i Franqu\`{e}s 1, E08028 Barcelona, Spain",0000-0003-0265-6217
Gontcho A Gontcho,Satya ,S.~Gontcho A Gontcho,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0003-3142-233X
Gonzalez-Perez,Violeta,V.~Gonzalez-Perez,False,"Centro de Investigaci\'{o}n Avanzada en F\'{\i}sica Fundamental (CIAFF), Facultad de Ciencias, Universidad Aut\'{o}noma de Madrid, ES-28049 Madrid, Spain",0000-0001-9938-2755
Gonzalez-Perez,Violeta,V.~Gonzalez-Perez,False,"Instituto de F\'{\i}sica Te\'{o}rica (IFT) UAM/CSIC, Universidad Aut\'{o}noma de Madrid, Cantoblanco, E-28049, Madrid, Spain",0000-0001-9938-2755
Gordon,Calum,C.~Gordon,False,"Institut de F\'{i}sica d’Altes Energies (IFAE), The Barcelona Institute of Science and Technology, Campus UAB, 08193 Bellaterra Barcelona, Spain",
Green,Dylan,D.~Green,False,"Department of Physics and Astronomy, University of California, Irvine, 92697, USA",0000-0002-0676-3661
Gruen,Daniel,D.~Gruen,False,"Excellence Cluster ORIGINS, Boltzmannstrasse 2, D-85748 Garching, Germany",
Gruen,Daniel,D.~Gruen,False,"University Observatory, Faculty of Physics, Ludwig-Maximilians-Universit\""{a}t, Scheinerstr. 1, 81677 M\""{u}nchen, Germany",
Gsponer,Rafaela  ,R.~Gsponer,False,"Institute of Cosmology and Gravitation, University of Portsmouth, Dennis Sciama Building, Portsmouth, PO1 3FX, UK",
Hadzhiyska,Boryana,B.~Hadzhiyska,False,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0002-2312-3121
Hadzhiyska,Boryana,B.~Hadzhiyska,False,"University of California, Berkeley, 110 Sproul Hall \#5800 Berkeley, CA 94720, USA",0000-0002-2312-3121
Hahn,ChangHoon,C.~Hahn,True,"Department of Astrophysical Sciences, Princeton University, Princeton NJ 08544, USA",0000-0003-1197-0902
Hanif,Malik Muhammad Sikandar,M.~M.~S~Hanif,False,"University of Michigan, Ann Arbor, MI 48109, USA",0009-0006-2583-5006
Herrera-Alcantar,Hiram K.,H.~K.~Herrera-Alcantar,False,"Departamento de F\'{i}sica, Universidad de Guanajuato - DCI, C.P. 37150, Leon, Guanajuato, M\'{e}xico",0000-0002-9136-9609
Honscheid,Klaus,K.~Honscheid,True,"Center for Cosmology and AstroParticle Physics, The Ohio State University, 191 West Woodruff Avenue, Columbus, OH 43210, USA",
Honscheid,Klaus,K.~Honscheid,True,"Department of Physics, The Ohio State University, 191 West Woodruff Avenue, Columbus, OH 43210, USA",
Honscheid,Klaus,K.~Honscheid,True,"The Ohio State University, Columbus, 43210 OH, USA",
Hou,Jiamin,J.~Hou,False,"Department of Astronomy, University of Florida, 211 Bryant Space Science Center, Gainesville, FL 32611, USA",
Howlett,Cullan,C.~Howlett,False,"School of Mathematics and Physics, University of Queensland, 4072, Australia",0000-0002-1081-9410
Huterer,Dragan,D.~Huterer,False,"Department of Physics, University of Michigan, Ann Arbor, MI 48109, USA",0000-0001-6558-0112
Huterer,Dragan,D.~Huterer,False,"University of Michigan, Ann Arbor, MI 48109, USA",0000-0001-6558-0112
Irsic,Vid,V.~Ir\v{s}i\v{c},False,"Kavli Institute for Cosmology, University of Cambridge, Madingley Road, Cambridge CB3 0HA, UK",0000-0002-5445-461X
Ishak,Mustapha,M.~Ishak,False,"Department of Physics, The University of Texas at Dallas, Richardson, TX 75080, USA",0000-0002-6024-466X
Karacayli,Naim Goksel,N.~G.~Kara{\c c}ayl{\i},False,"Center for Cosmology and AstroParticle Physics, The Ohio State University, 191 West Woodruff Avenue, Columbus, OH 43210, USA",0000-0001-7336-8912
Karacayli,Naim Goksel,N.~G.~Kara{\c c}ayl{\i},False,"Department of Astronomy, The Ohio State University, 4055 McPherson Laboratory, 140 W 18th Avenue, Columbus, OH 43210, USA",0000-0001-7336-8912
Karacayli,Naim Goksel,N.~G.~Kara{\c c}ayl{\i},False,"Department of Physics, The Ohio State University, 191 West Woodruff Avenue, Columbus, OH 43210, USA",0000-0001-7336-8912
Karacayli,Naim Goksel,N.~G.~Kara{\c c}ayl{\i},False,"The Ohio State University, Columbus, 43210 OH, USA",0000-0001-7336-8912
Kent,Stephen,S.~Kent,True,"Department of Astronomy and Astrophysics, University of Chicago, 5640 South Ellis Avenue, Chicago, IL 60637, USA",0000-0003-4207-7420
Kent,Stephen,S.~Kent,True,"Fermi National Accelerator Laboratory, PO Box 500, Batavia, IL 60510, USA",0000-0003-4207-7420
Kirkby,David,D.~Kirkby,True,"Department of Physics and Astronomy, University of California, Irvine, 92697, USA",0000-0002-8828-5463
Kitaura,Francisco-Shu,F.-S.~Kitaura,False,"Departamento de Astrof\'{\i}sica, Universidad de La Laguna (ULL), E-38206, La Laguna, Tenerife, Spain",0000-0002-9994-759X
Kitaura,Francisco-Shu,F.-S.~Kitaura,False,"Instituto de Astrof\'{i}sica de Canarias, C/ Vía L\'{a}ctea, s/n, E-38205 La Laguna, Tenerife, Spain \\  Universidad de La Laguna, Dept. de Astrof\'{\i}sica, E-38206 La Laguna, Tenerife, Spain",0000-0002-9994-759X
Kremin,Anthony,A.~Kremin,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0001-6356-7424
Krolewski,Alex,A.~Krolewski,False,"Department of Physics and Astronomy, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",
Krolewski,Alex,A.~Krolewski,False,"Perimeter Institute for Theoretical Physics, 31 Caroline St. North, Waterloo, ON N2L 2Y5, Canada",
Krolewski,Alex,A.~Krolewski,False,"Waterloo Centre for Astrophysics, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",
Lai,Yan,Y.~Lai,False,"School of Mathematics and Physics, University of Queensland, 4072, Australia",
Lan,Ting-Wen,T.-W.~Lan,False,"Graduate Institute of Astrophysics and Department of Physics, National Taiwan University, No. 1, Sec. 4, Roosevelt Rd., Taipei 10617, Taiwan",0000-0001-8857-7020
Lang,Dustin,D.~Lang,True,"Perimeter Institute for Theoretical Physics, 31 Caroline St. North, Waterloo, ON N2L 2Y5, Canada",
Le Goff,Jean-Marc,J.M.~Le~Goff,True,"IRFU, CEA, Universit\'{e} Paris-Saclay, F-91191 Gif-sur-Yvette, France",
Le Guillou,Laurent,L.~Le~Guillou,True,"Sorbonne Universit\'{e}, CNRS/IN2P3, Laboratoire de Physique Nucl\'{e}aire et de Hautes Energies (LPNHE), FR-75005 Paris, France",0000-0001-7178-8868
Levi,Michael,Michael~E.~Levi,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0003-1887-1018
Li,Ting,T.~S.~Li,True,"Department of Astronomy \& Astrophysics, University of Toronto, Toronto, ON M5S 3H4, Canada",0000-0002-9110-6163
Linder,Eric,E.~Linder,False,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0001-5536-9241
Linder,Eric,E.~Linder,False,"Space Sciences Laboratory, University of California, Berkeley, 7 Gauss Way, Berkeley, CA  94720, USA",0000-0001-5536-9241
Linder,Eric,E.~Linder,False,"University of California, Berkeley, 110 Sproul Hall \#5800 Berkeley, CA 94720, USA",0000-0001-5536-9241
Lodha,Kushal,K.~Lodha,False,"Korea Astronomy and Space Science Institute, 776, Daedeokdae-ro, Yuseong-gu, Daejeon 34055, Republic of Korea",
Magneville,Christophe,C.~Magneville,True,"IRFU, CEA, Universit\'{e} Paris-Saclay, F-91191 Gif-sur-Yvette, France",
Manera,Marc,M.~Manera,True,"Departament de F\'{i}sica, Serra H\'{u}nter, Universitat Aut\`{o}noma de Barcelona, 08193 Bellaterra (Barcelona), Spain",0000-0003-4962-8934
Manera,Marc,M.~Manera,True,"Institut de F\'{i}sica d’Altes Energies (IFAE), The Barcelona Institute of Science and Technology, Campus UAB, 08193 Bellaterra Barcelona, Spain",0000-0003-4962-8934
Margala,Daniel,D.~Margala,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0009-0001-5897-1956
Martini,Paul,P.~Martini,True,"Center for Cosmology and AstroParticle Physics, The Ohio State University, 191 West Woodruff Avenue, Columbus, OH 43210, USA",0000-0002-4279-4182
Martini,Paul,P.~Martini,True,"Department of Astronomy, The Ohio State University, 4055 McPherson Laboratory, 140 W 18th Avenue, Columbus, OH 43210, USA",0000-0002-4279-4182
Martini,Paul,P.~Martini,True,"The Ohio State University, Columbus, 43210 OH, USA",0000-0002-4279-4182
Maus,Mark Lennard,M.~Maus,False,"University of California, Berkeley, 110 Sproul Hall \#5800 Berkeley, CA 94720, USA",
Medina Varela,Leonel ,L.~Medina-Varela,False,"Department of Physics, The University of Texas at Dallas, Richardson, TX 75080, USA",
Meisner,Aaron,A.~Meisner,True,"NSF's NOIRLab, 950 N. Cherry Ave., Tucson, AZ 85719, USA",0000-0002-1125-7384
Mena-Fernández,Juan,J.~Mena-Fern\'andez,False,"Laboratoire de Physique Subatomique et de Cosmologie, 53 Avenue des Martyrs, 38000 Grenoble, France",0000-0001-9497-7266
Miquel,Ramon,R.~Miquel,True,"Instituci\'{o} Catalana de Recerca i Estudis Avan\c{c}ats, Passeig de Llu\'{\i}s Companys, 23, 08010 Barcelona, Spain",
Miquel,Ramon,R.~Miquel,True,"Institut de F\'{i}sica d’Altes Energies (IFAE), The Barcelona Institute of Science and Technology, Campus UAB, 08193 Bellaterra Barcelona, Spain",
Moon,Jeongin,J.~Moon,False,None,
Moore,Samuel,S.~Moore,False,"Institute for Computational Cosmology, Department of Physics, Durham University, South Road, Durham DH1 3LE, UK",
Moustakas,John,J.~Moustakas,True,"Department of Physics and Astronomy, Siena College, 515 Loudon Road, Loudonville, NY 12211, USA",0000-0002-2733-4559
Mudur,Nayantara,N.~Mudur,False,"Center for Astrophysics $|$ Harvard \& Smithsonian, 60 Garden Street, Cambridge, MA 02138, USA",
Mueller,Eva-Maria,E.~Mueller,False,"Department of Physics and Astronomy, University of Sussex, Brighton BN1 9QH, U.K",
Muñoz-Gutiérrez,Andrea ,A.~Muñoz-Gutiérrez,True,"Instituto de F\'{\i}sica, Universidad Nacional Aut\'{o}noma de M\'{e}xico,  Cd. de M\'{e}xico  C.P. 04510,  M\'{e}xico",
Myers,Adam,A.~D.~Myers,True,"Department of Physics \& Astronomy, University  of Wyoming, 1000 E. University, Dept.~3905, Laramie, WY 82071, USA",
Nadathur,Seshadri,S.~Nadathur,False,"Institute of Cosmology and Gravitation, University of Portsmouth, Dennis Sciama Building, Portsmouth, PO1 3FX, UK",0000-0001-9070-3102
Napolitano,Lucas,L.~Napolitano,False,"Department of Physics \& Astronomy, University  of Wyoming, 1000 E. University, Dept.~3905, Laramie, WY 82071, USA",0000-0002-5166-8671
Neveux,Richard,R.~Neveux,False,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",
Newman,Jeffrey A.,J.~ A.~Newman,True,"Department of Physics \& Astronomy and Pittsburgh Particle Physics, Astrophysics, and Cosmology Center (PITT PACC), University of Pittsburgh, 3941 O'Hara Street, Pittsburgh, PA 15260, USA",0000-0001-8684-2222
Nguyen,Minh,M.~Nguyen,False,"University of Michigan, Ann Arbor, MI 48109, USA",
Niz,Gustavo,G.~Niz,False,"Departamento de F\'{i}sica, Universidad de Guanajuato - DCI, C.P. 37150, Leon, Guanajuato, M\'{e}xico",0000-0002-1544-8946
Niz,Gustavo,G.~Niz,False,"Instituto Avanzado de Cosmolog\'{\i}a A.~C., San Marcos 11 - Atenas 202. Magdalena Contreras, 10720. Ciudad de M\'{e}xico, M\'{e}xico",0000-0002-1544-8946
Noriega ,Hernan Enrique ,H.~E.~Noriega,False,"Instituto de Ciencias F\'{\i}sicas, Universidad Aut\'onoma de M\'exico, Cuernavaca, Morelos, 62210, M\'exico",0000-0002-3397-3998
Noriega ,Hernan Enrique ,H.~E.~Noriega,False,"Instituto de F\'{\i}sica, Universidad Nacional Aut\'{o}noma de M\'{e}xico,  Cd. de M\'{e}xico  C.P. 04510,  M\'{e}xico",0000-0002-3397-3998
Paillas,Enrique,E.~Paillas,False,"Department of Physics and Astronomy, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",0000-0002-4637-2868
Paillas,Enrique,E.~Paillas,False,"Waterloo Centre for Astrophysics, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",0000-0002-4637-2868
Palanque-Delabrouille,Nathalie,N.~Palanque-Delabrouille,True,"IRFU, CEA, Universit\'{e} Paris-Saclay, F-91191 Gif-sur-Yvette, France",0000-0003-3188-784X
Palanque-Delabrouille,Nathalie,N.~Palanque-Delabrouille,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0003-3188-784X
Pan,Jiaming,J.~Pan,False,"University of Michigan, Ann Arbor, MI 48109, USA",
Penmetsa,Siddhardha,S.~Penmetsa,False,"Department of Physics and Astronomy, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",
Percival,Will,W.~J.~Percival,True,"Department of Physics and Astronomy, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",0000-0002-0644-5727
Percival,Will,W.~J.~Percival,True,"Perimeter Institute for Theoretical Physics, 31 Caroline St. North, Waterloo, ON N2L 2Y5, Canada",0000-0002-0644-5727
Percival,Will,W.~J.~Percival,True,"Waterloo Centre for Astrophysics, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",0000-0002-0644-5727
Pieri,Matthew,M.~Pieri,False,"Aix Marseille Univ, CNRS, CNES, LAM, Marseille, France",
Pinon,Mathilde,M.~Pinon,False,"IRFU, CEA, Universit\'{e} Paris-Saclay, F-91191 Gif-sur-Yvette, France",
Poppett,Claire,C.~Poppett,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",
Poppett,Claire,C.~Poppett,True,"Space Sciences Laboratory, University of California, Berkeley, 7 Gauss Way, Berkeley, CA  94720, USA",
Poppett,Claire,C.~Poppett,True,"University of California, Berkeley, 110 Sproul Hall \#5800 Berkeley, CA 94720, USA",
Porredon,Anna,A.~Porredon,False,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",0000-0002-2762-2024
Porredon,Anna,A.~Porredon,False,"Ruhr University Bochum, Faculty of Physics and Astronomy, Astronomical Institute (AIRUB), German Centre for Cosmological Lensing, 44780 Bochum, Germany",0000-0002-2762-2024
Porredon,Anna,A.~Porredon,False,"The Ohio State University, Columbus, 43210 OH, USA",0000-0002-2762-2024
Prada,Francisco,F.~Prada,True,"Instituto de Astrof\'{i}sica de Andaluc\'{i}a (CSIC), Glorieta de la Astronom\'{i}a, s/n, E-18008 Granada, Spain",0000-0001-7145-8674
